,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
152,Sydney,Sydney,Rich Brian,['Rich Brian'],2021-03-16,194240,46,0.475,0.62,0.476,0.135,161.168,0.602
153,DOA,1999,Rich Brian,['Rich Brian'],2020-08-24,161162,45,0.227,0.603,0.611,0.109,86.001,0.317
154,Don't Care,Don't Care,Rich Brian,['Rich Brian'],2020-08-18,164571,43,0.18,0.642,0.569,0.105,140.095,0.194
155,Love In My Pocket,Love In My Pocket,Rich Brian,['Rich Brian'],2020-07-09,223093,41,0.0206,0.829,0.597,0.11,113.011,0.782
156,BALI,BALI,Rich Brian,"['Rich Brian', 'Guapdad 4000']",2020-04-09,199384,39,0.00983,0.864,0.642,0.22,129.995,0.622
157,TITANIC (feat. Rich Brian),MIRRORS,Jackson Wang,"['Jackson Wang', 'Rich Brian']",2019-10-25,141146,54,0.0463,0.894,0.748,0.057,99.983,0.697
158,2 The Face,Head In The Clouds II,88rising,"['88rising', 'Rich Brian', 'Higher Brothers']",2019-10-11,151531,42,0.168,0.649,0.684,0.141,171.994,0.342
159,Dat $tick,Dat $tick,Rich Brian,['Rich Brian'],2016-03-11,126666,62,0.104,0.923,0.508,0.126,108.039,0.168
160,Hopscotch (feat. Barney Bones & Rich Brian),Head In The Clouds II,88rising,"['88rising', 'AUGUST 08', 'Joji']",2019-10-11,205786,43,0.0695,0.905,0.609,0.153,85.04,0.447
161,These Nights,Head In The Clouds II,88rising,"['88rising', 'Rich Brian', 'CHUNG HA']",2019-10-11,223006,48,0.000317,0.656,0.673,0.28,83.018,0.494
162,Glow Like Dat,Glow Like Dat,Rich Brian,['Rich Brian'],2017-08-15,210861,50,0.411,0.787,0.586,0.118,140.036,0.581
163,Rapapapa (feat. RZA),The Sailor,Rich Brian,"['Rich Brian', 'RZA']",2019-07-26,247165,50,0.501,0.782,0.752,0.114,126.936,0.504
164,Gold Coast,Head In The Clouds II,88rising,"['88rising', 'Rich Brian']",2019-10-11,241846,44,0.132,0.577,0.649,0.339,129.97,0.266
165,Drive Safe,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,240118,61,0.635,0.635,0.312,0.138,98.017,0.414
166,The Sailor,The Sailor,Rich Brian,['Rich Brian'],2019-07-26,220833,46,0.11,0.455,0.566,0.696,119.935,0.393
167,Yellow (feat. Bekon),The Sailor,Rich Brian,"['Rich Brian', 'Bekon']",2019-07-26,291869,48,0.217,0.447,0.53,0.351,75.917,0.0621
