,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
75,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,193000,76,0.033,0.61,0.83,0.118,182.162,0.728
76,Mine,Speak Now,Taylor Swift,2010-10-25,230706,65,0.00265,0.624,0.757,0.189,121.07,0.658
77,Back To December,Speak Now,Taylor Swift,2010-10-25,293026,67,0.117,0.529,0.67,0.334,141.893,0.286
78,right where you left me - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,245026,76,0.769,0.581,0.619,0.117,137.915,0.645
79,I Forgot That You Existed,Lover,Taylor Swift,2019-08-23,170640,72,0.298,0.664,0.316,0.0812,92.875,0.541
80,Lover (Remix) [feat. Shawn Mendes],Lover (Remix) [feat. Shawn Mendes],Taylor Swift,2019-11-13,221306,68,0.433,0.448,0.603,0.0862,205.272,0.422
81,betty,folklore,Taylor Swift,2020-07-24,294521,71,0.6,0.593,0.377,0.0976,95.939,0.502
82,invisible string,folklore,Taylor Swift,2020-07-24,252880,71,0.838,0.653,0.452,0.108,83.433,0.45
83,Mean,Speak Now,Taylor Swift,2010-10-25,237733,64,0.452,0.568,0.761,0.217,163.974,0.789
84,the last great american dynasty,folklore,Taylor Swift,2020-07-24,230999,71,0.467,0.686,0.662,0.109,147.922,0.706
85,Cornelia Street,Lover,Taylor Swift,2019-08-23,287266,73,0.781,0.824,0.624,0.1,102.012,0.248
86,Welcome To New York,1989,Taylor Swift,2014-10-27,212600,61,0.038,0.793,0.634,0.304,117.024,0.615
87,I Don’t Wanna Live Forever (Fifty Shades Darker),Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,245653,64,0.0594,0.734,0.442,0.213,117.967,0.0973
88,Call It What You Want,reputation,Taylor Swift,2017-11-10,203506,73,0.186,0.598,0.504,0.34,163.954,0.252
89,Begin Again,Red,Taylor Swift,2012-10-22,237613,58,0.199,0.53,0.526,0.232,79.025,0.323
90,Renegade (feat. Taylor Swift),How Long Do You Think It's Gonna Last?,Big Red Machine,2021-08-27,254466,70,0.44,0.53,0.712,0.0931,167.964,0.577
91,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,2021-03-26,220839,59,0.818,0.589,0.496,0.101,142.731,0.44
92,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,189495,64,0.225,0.588,0.608,0.092,90.201,0.508
93,the lakes - original version,the lakes (original version),Taylor Swift,2021-07-24,227203,61,0.717,0.197,0.406,0.293,90.053,0.251
94,it’s time to go - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,254640,67,0.801,0.592,0.41,0.09,151.923,0.416
95,Picture To Burn,Taylor Swift,Taylor Swift,2006-10-24,173066,66,0.173,0.658,0.877,0.0962,105.586,0.821
96,exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Taylor Swift,2020-11-25,279893,56,0.848,0.359,0.305,0.111,151.956,0.108
97,marjorie,evermore,Taylor Swift,2020-12-11,257773,63,0.876,0.535,0.561,0.115,96.103,0.287
98,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,244236,62,0.849,0.609,0.373,0.0779,106.007,0.13
99,mirrorball,folklore,Taylor Swift,2020-07-24,208977,76,0.687,0.553,0.413,0.0594,110.107,0.379
